time,open,high,low,close,volume
2026-02-09T00:00:00+00:00,185.13,193.49,183.82,189.87,470751
2026-02-12T00:00:00+00:00,189.87,193.43,181.41,182.6,732428
2026-02-15T00:00:00+00:00,182.6,186.99,179,184.85,216707
2026-02-18T00:00:00+00:00,184.85,190.2,184.85,189.65,712541
2026-02-21T00:00:00+00:00,189.65,193.75,189.4,191.47,150553
2026-02-24T00:00:00+00:00,191.47,197.46,184.17,184.73,411938
2026-02-27T00:00:00+00:00,184.73,184.73,176.25,177.05,164321
2026-03-02T00:00:00+00:00,177.05,184.54,174.44,182.78,601427
2026-03-05T00:00:00+00:00,182.78,183.9,176.65,177.54,472545
2026-03-08T00:00:00+00:00,177.54,186.27,175.4,184.57,401665
2026-03-11T00:00:00+00:00,184.57,187.45,179.76,180.08,721880
2026-03-14T00:00:00+00:00,180.08,188.66,180.08,183.01,137939
2026-03-17T00:00:00+00:00,183.01,185.19,175.63,178.38,609613
2026-03-20T00:00:00+00:00,178.38,178.38,171.55,172.82,185191
2026-03-23T00:00:00+00:00,172.82,181.05,172.82,178.52,488767
2026-03-26T00:00:00+00:00,178.52,178.52,166.83,167.27,454603
2026-03-29T00:00:00+00:00,167.27,174.45,164.1,174.22,356238
2026-04-01T00:00:00+00:00,174.22,177.32,171.21,177.27,326658
2026-04-04T00:00:00+00:00,177.27,177.55,175.6,177.43,123950
2026-04-07T00:00:00+00:00,177.43,185.05,173.49,183.72,492123
2026-04-10T00:00:00+00:00,183.72,189.84,183.72,188.51,117574
2026-04-13T00:00:00+00:00,188.51,200.23,185.56,198.72,278518
2026-04-16T00:00:00+00:00,198.72,201.52,195.64,201.49,373945
2026-04-19T00:00:00+00:00,201.49,202.57,197.66,199.75,200524
2026-04-22T00:00:00+00:00,199.75,210.77,197.06,208.02,459290
2026-04-25T00:00:00+00:00,208.02,216.66,207.21,216.48,113813
2026-04-28T00:00:00+00:00,216.48,216.48,198.53,199.41,339159
2026-05-01T00:00:00+00:00,199.41,202.81,196.96,198.25,124368
2026-05-04T00:00:00+00:00,198.25,208.1,194.58,207.52,274360
2026-05-07T00:00:00+00:00,207.52,217.61,206.34,215,226542
2026-05-10T00:00:00+00:00,215,223.56,213.73,220.84,211107
2026-05-13T00:00:00+00:00,220.84,236.38,220.84,225.16,367879
2026-05-16T00:00:00+00:00,225.16,229.79,218.22,222.21,150895
2026-05-19T00:00:00+00:00,222.21,227.16,217.75,219.32,387685
2026-05-22T00:00:00+00:00,219.32,220.74,214.67,215.07,119814
2026-05-25T00:00:00+00:00,215.07,218,208.61,212.46,196114
2026-05-28T00:00:00+00:00,212.46,217.65,210.99,211.24,281496
2026-05-31T00:00:00+00:00,211.24,232.1,211.24,222.66,204013
2026-06-03T00:00:00+00:00,222.66,222.66,204.16,204.97,440127
2026-06-06T00:00:00+00:00,204.97,210.15,204.97,208.52,129759
2026-06-09T00:00:00+00:00,208.52,211.23,199.18,204.51,828421
2026-06-12T00:00:00+00:00,204.51,206.9,203.27,204.98,162372
2026-06-15T00:00:00+00:00,204.98,212.54,203.28,204.52,370937
2026-06-18T00:00:00+00:00,204.52,211.22,204.52,210.1,115674
2026-06-21T00:00:00+00:00,210.1,213.81,199.84,199.86,271296
2026-06-24T00:00:00+00:00,199.86,201.46,191.04,191.59,692033
2026-06-27T00:00:00+00:00,191.59,195.97,189.63,194.74,119412
2026-06-30T00:00:00+00:00,194.74,200.46,192.17,194.38,529718
2026-07-06T00:00:00+00:00,194.38,204.98,190.98,203.92,381027
2026-07-09T00:00:00+00:00,203.92,210.83,198.8,210.79,339797
2026-07-12T00:00:00+00:00,210.79,212.37,203.17,211.65,247363
2026-07-15T00:00:00+00:00,211.65,213.61,197.8,202.48,601744
2026-07-18T00:00:00+00:00,202.48,207.54,202.12,203.2,122560
2026-07-21T00:00:00+00:00,203.2,214.21,203.2,208.63,532993
2026-07-24T00:00:00+00:00,208.63,211.73,204.63,206.83,204579
2026-07-27T00:00:00+00:00,206.83,208.47,189.86,189.92,463267
2026-07-30T00:00:00+00:00,189.92,201.78,189.92,200.69,281743
2026-08-02T00:00:00+00:00,200.69,212.89,196.69,211.68,235887
2026-08-05T00:00:00+00:00,211.68,224.6,211.68,221.85,389552
2026-08-08T00:00:00+00:00,223.75,223.93,216.6,217.4,118537
2026-08-11T00:00:00+00:00,217.4,227.03,216.12,225.2,285665
2026-08-14T00:00:00+00:00,225.2,227.32,224.33,225.03,110972
2026-08-17T00:00:00+00:00,225.03,227.75,216.58,217.5,299627
2026-08-20T00:00:00+00:00,217.5,219.66,214.35,214.58,200763
2026-08-23T00:00:00+00:00,214.58,215.3,207.32,212.47,172296
2026-08-26T00:00:00+00:00,212.82,229.07,209.77,217.38,242616
2026-08-29T00:00:00+00:00,217.38,221.11,216.05,220.5,83790
2026-09-01T00:00:00+00:00,220.5,220.5,214.93,217.38,94422
